NodeNumber,xPos,yPos,zPos
2028332,3.4590400e+03,-4.2000000e+02,5.2790997e+02
2028333,3.4421699e+03,-4.2119998e+02,5.2564996e+02
2028334,3.4249500e+03,-4.2241000e+02,5.2354999e+02
2028335,3.4115100e+03,-4.2341000e+02,5.2102997e+02
2028336,3.3961299e+03,-4.2456000e+02,5.1807001e+02
2028337,3.3856399e+03,-4.2534998e+02,5.1602997e+02
2028338,3.3766399e+03,-3.6216998e+02,5.1200000e+02
2028339,3.3796699e+03,-3.8241998e+02,5.1221997e+02
2028340,3.5185100e+03,-4.0219000e+02,4.0553000e+02
2028341,3.5217700e+03,-4.2188998e+02,4.0666998e+02
2028342,3.5123699e+03,-4.1994000e+02,4.0442999e+02
2028343,3.7962998e+03,-3.6350998e+02,5.8783997e+02
2028344,3.8026399e+03,-3.8931000e+02,5.9048999e+02
2028345,3.7732800e+03,-3.6535001e+02,5.8387000e+02
2028346,3.7793799e+03,-3.9350998e+02,5.8564001e+02
2028347,3.8193298e+03,-3.6167999e+02,5.8981000e+02
2028348,3.8261099e+03,-3.8507999e+02,5.9270996e+02
2028349,3.7905999e+03,-3.4313000e+02,5.8684998e+02
2028350,3.8128098e+03,-3.4094000e+02,5.8827997e+02
2028351,3.7683699e+03,-3.4529999e+02,5.8344000e+02
2028352,3.7848799e+03,-3.2259000e+02,5.8627997e+02
2028353,3.7634500e+03,-3.2503998e+02,5.8357001e+02
2028354,3.8062998e+03,-3.2014999e+02,5.8696997e+02
2028355,3.7804299e+03,-3.1497000e+02,5.7921997e+02
2028356,3.8027400e+03,-3.1300000e+02,5.8087000e+02
2028357,3.7581199e+03,-3.1691998e+02,5.7756000e+02
2028358,3.7796899e+03,-3.1310999e+02,5.5533997e+02
2028359,3.7578499e+03,-3.1564999e+02,5.5365997e+02
2028360,3.8015200e+03,-3.1050998e+02,5.5702997e+02
2028361,3.7792600e+03,-3.1262000e+02,5.3645001e+02
2028362,3.7577700e+03,-3.1542999e+02,5.3684998e+02
2028363,3.8007400e+03,-3.0969998e+02,5.3604999e+02
2028364,3.7788198e+03,-3.1317999e+02,5.0992999e+02
2028365,3.7994299e+03,-3.1051999e+02,5.1091998e+02
2028366,3.7582000e+03,-3.1578998e+02,5.0894000e+02
2028367,3.7780498e+03,-3.1414999e+02,4.8994000e+02
2028368,3.7581199e+03,-3.1626999e+02,4.9151999e+02
2028369,3.7979600e+03,-3.1203000e+02,4.8835999e+02
2028370,3.7773098e+03,-3.1550000e+02,4.7537997e+02
2028371,3.7579199e+03,-3.1692999e+02,4.7663998e+02
2028372,3.7967400e+03,-3.1419000e+02,4.7414999e+02
2028373,3.7775300e+03,-3.1698999e+02,4.6016998e+02
2028374,3.7971499e+03,-3.1645999e+02,4.5925000e+02
2028375,3.7577100e+03,-3.1797000e+02,4.6147998e+02
2028376,3.7761699e+03,-3.2770999e+02,4.5156000e+02
2028377,3.7537100e+03,-3.2894000e+02,4.5181000e+02
2028378,3.7986599e+03,-3.2644998e+02,4.5129999e+02
2028379,3.7785798e+03,-3.4845999e+02,4.4960999e+02
2028380,3.7534900e+03,-3.4978998e+02,4.4897000e+02
2028381,3.8036499e+03,-3.4716000e+02,4.5031000e+02
2028382,3.7795498e+03,-3.7948999e+02,4.4316998e+02
2028383,3.7771699e+03,-3.5891998e+02,4.4775000e+02
2028384,3.8079199e+03,-3.7281998e+02,4.4600000e+02
2028385,3.8029500e+03,-3.5238000e+02,4.4935999e+02
2028386,3.7511499e+03,-3.8616000e+02,4.4041998e+02
2028387,3.7513899e+03,-3.6544000e+02,4.4609998e+02
2028388,3.4473999e+03,-3.5963998e+02,3.9378998e+02
2028389,3.4551499e+03,-3.8494000e+02,3.9163998e+02
2028390,3.4632200e+03,-4.1006998e+02,3.8747998e+02
2028391,3.4714399e+03,-4.3513000e+02,3.8881000e+02
2028392,3.4333198e+03,-3.6191998e+02,3.9288000e+02
2028393,3.4406899e+03,-3.8381998e+02,3.9134000e+02
2028394,3.4482998e+03,-4.0541998e+02,3.8635999e+02
2028395,3.4563599e+03,-4.2617999e+02,3.8689999e+02
2028396,3.4179800e+03,-3.6353998e+02,3.9301999e+02
2028397,3.4254199e+03,-3.8291998e+02,3.9112000e+02
2028398,3.4326799e+03,-4.0160999e+02,3.8550000e+02
2028399,3.4402600e+03,-4.1909998e+02,3.8441000e+02
2028400,3.4094800e+03,-3.8260999e+02,3.9098999e+02
2028401,3.4020498e+03,-3.6525000e+02,3.9319998e+02
2028402,3.4163599e+03,-3.9881998e+02,3.8544998e+02
2028403,3.4234199e+03,-4.1400000e+02,3.8425000e+02
2028404,3.3930598e+03,-3.8310999e+02,3.9097000e+02
2028405,3.3857800e+03,-3.6734000e+02,3.9339999e+02
2028406,3.3995698e+03,-3.9778998e+02,3.8560999e+02
2028407,3.4059700e+03,-4.1095999e+02,3.8356000e+02
2028408,3.3763398e+03,-3.8447998e+02,3.9106998e+02
2028409,3.3692700e+03,-3.6985999e+02,3.9362000e+02
2028410,3.3824900e+03,-3.9801999e+02,3.8560001e+02
2028411,3.3883599e+03,-4.1003000e+02,3.8329999e+02
2028412,3.3595000e+03,-3.8673999e+02,3.9135999e+02
2028413,3.3653599e+03,-3.9969000e+02,3.8588000e+02
2028414,3.3526699e+03,-3.7285999e+02,3.9385999e+02
2028415,3.3707600e+03,-4.1122000e+02,3.8348999e+02
2028416,3.3483999e+03,-4.0267999e+02,3.8651999e+02
2028417,3.3534399e+03,-4.1450000e+02,3.8409000e+02
2028418,3.3427400e+03,-3.8973999e+02,3.9185001e+02
2028419,3.3361399e+03,-3.7629999e+02,3.9410001e+02
2028420,3.3366599e+03,-4.1982999e+02,3.8513998e+02
2028421,3.3318398e+03,-4.0664999e+02,3.8756000e+02
2028422,3.3262500e+03,-3.9301999e+02,3.9263000e+02
